GEOID,NAME,total_incomeE,total_incomeM,ratio_halfE,ratio_halfM,ratio_oneE,ratio_oneM,med_grs_rentE,med_grs_rentM
"24005400701","Census Tract 4007.01, Baltimore County, Maryland",2891,262,63,44,14,15,1120,84
"24005401101","Census Tract 4011.01, Baltimore County, Maryland",6447,589,338,306,147,134,1279,84
"24005401200","Census Tract 4012, Baltimore County, Maryland",3170,289,86,71,96,72,1183,187
"24005401302","Census Tract 4013.02, Baltimore County, Maryland",2609,267,158,98,89,56,816,41
"24510260302","Census Tract 2603.02, Baltimore city, Maryland",6293,686,989,624,532,266,1184,123
"24510260700","Census Tract 2607, Baltimore city, Maryland",2639,347,371,167,306,167,858,122
"24510260900","Census Tract 2609, Baltimore city, Maryland",2572,257,162,94,55,43,1571,309
"24510261000","Census Tract 2610, Baltimore city, Maryland",2822,682,416,255,447,240,1151,119
"24510270101","Census Tract 2701.01, Baltimore city, Maryland",1757,235,72,60,313,209,779,564
"24510271900","Census Tract 2719, Baltimore city, Maryland",3996,420,452,236,345,188,924,80
"24510272003","Census Tract 2720.03, Baltimore city, Maryland",5528,630,123,115,98,86,1107,19
"24005402303","Census Tract 4023.03, Baltimore County, Maryland",7117,647,198,157,396,235,1082,79
"24005402306","Census Tract 4023.06, Baltimore County, Maryland",3678,315,251,138,171,81,1055,44
"24005402506","Census Tract 4025.06, Baltimore County, Maryland",4022,293,97,57,113,104,1265,123
"24005403801","Census Tract 4038.01, Baltimore County, Maryland",1623,143,21,31,44,38,1159,1294
"24005420800","Census Tract 4208, Baltimore County, Maryland",3450,301,288,251,178,145,1222,380
"24005430400","Census Tract 4304, Baltimore County, Maryland",4485,430,226,178,500,294,882,58
"24005430600","Census Tract 4306, Baltimore County, Maryland",2293,203,92,74,67,53,1614,321
"24005450300","Census Tract 4503, Baltimore County, Maryland",3242,310,156,98,138,112,726,244
"24005451701","Census Tract 4517.01, Baltimore County, Maryland",2770,257,160,137,33,35,1438,121
"24005451801","Census Tract 4518.01, Baltimore County, Maryland",5160,342,282,140,212,167,902,76
"24005490100","Census Tract 4901, Baltimore County, Maryland",4092,203,155,214,59,54,2001,
"24005490200","Census Tract 4902, Baltimore County, Maryland",2825,134,57,44,44,42,2001,
"24005491100","Census Tract 4911, Baltimore County, Maryland",3939,308,161,87,118,122,1004,66
"24005491202","Census Tract 4912.02, Baltimore County, Maryland",1815,123,0,12,138,110,1398,82
"24005491701","Census Tract 4917.01, Baltimore County, Maryland",4067,484,157,111,149,102,1081,100
"24005400100","Census Tract 4001, Baltimore County, Maryland",4417,378,137,100,137,130,1784,68
"24005402201","Census Tract 4022.01, Baltimore County, Maryland",3739,359,520,247,30,40,1607,816
"24005408100","Census Tract 4081, Baltimore County, Maryland",5809,429,91,93,46,41,1201,79
"24005411303","Census Tract 4113.03, Baltimore County, Maryland",5817,570,438,318,54,54,1350,47
"24005420402","Census Tract 4204.02, Baltimore County, Maryland",2210,263,110,103,126,97,1121,211
"24005452100","Census Tract 4521, Baltimore County, Maryland",3394,258,103,82,378,216,1417,695
"24005400500","Census Tract 4005, Baltimore County, Maryland",2488,120,18,23,48,46,619,742
"24005402202","Census Tract 4022.02, Baltimore County, Maryland",1580,129,3,5,0,12,1366,214
"24005403802","Census Tract 4038.02, Baltimore County, Maryland",2750,175,52,61,66,49,,
"24005408702","Census Tract 4087.02, Baltimore County, Maryland",2413,112,13,14,10,15,1230,83
"24005440100","Census Tract 4401, Baltimore County, Maryland",4706,299,286,136,158,110,1162,237
"24005421000","Census Tract 4210, Baltimore County, Maryland",1868,148,302,165,193,79,794,49
"24005430101","Census Tract 4301.01, Baltimore County, Maryland",3997,481,288,158,441,343,987,42
"24510190300","Census Tract 1903, Baltimore city, Maryland",2267,367,288,144,436,163,823,73
"24510250102","Census Tract 2501.02, Baltimore city, Maryland",2875,319,179,122,372,280,1017,99
"24510250301","Census Tract 2503.01, Baltimore city, Maryland",2511,265,574,217,218,119,339,122
"24510250401","Census Tract 2504.01, Baltimore city, Maryland",3391,393,532,280,474,323,924,122
"24510080700","Census Tract 807, Baltimore city, Maryland",773,135,89,61,128,106,920,472
"24510130805","Census Tract 1308.05, Baltimore city, Maryland",877,115,44,28,44,26,455,304
"24510210100","Census Tract 2101, Baltimore city, Maryland",2289,304,193,122,446,189,1410,130
"24510270701","Census Tract 2707.01, Baltimore city, Maryland",2789,284,274,157,487,248,948,27
"24510080600","Census Tract 806, Baltimore city, Maryland",2431,382,385,178,275,140,1097,83
"24510090400","Census Tract 904, Baltimore city, Maryland",1450,198,242,136,220,114,865,79
"24510090700","Census Tract 907, Baltimore city, Maryland",3151,508,655,351,257,216,1044,87
"24510120300","Census Tract 1203, Baltimore city, Maryland",3186,359,766,384,305,180,815,78
"24510120600","Census Tract 1206, Baltimore city, Maryland",2283,270,470,183,611,156,585,199
"24005401503","Census Tract 4015.03, Baltimore County, Maryland",6756,319,119,100,175,145,1572,331
"24005403602","Census Tract 4036.02, Baltimore County, Maryland",5684,453,408,335,127,102,1330,122
"24005441000","Census Tract 4410, Baltimore County, Maryland",3397,416,322,220,210,172,1236,97
"24005452500","Census Tract 4525, Baltimore County, Maryland",3470,272,111,68,355,182,1286,284
"24005490605","Census Tract 4906.05, Baltimore County, Maryland",361,200,278,181,50,38,1200,595
"24510160600","Census Tract 1606, Baltimore city, Maryland",2371,372,594,321,441,196,633,89
"24510240100","Census Tract 2401, Baltimore city, Maryland",2862,275,97,65,66,59,1788,319
"24510260605","Census Tract 2606.05, Baltimore city, Maryland",4592,410,369,214,757,421,908,45
"24510271503","Census Tract 2715.03, Baltimore city, Maryland",930,124,16,18,18,18,1303,172
"24510100200","Census Tract 1002, Baltimore city, Maryland",2743,380,950,455,510,239,351,100
"24510150800","Census Tract 1508, Baltimore city, Maryland",3665,639,471,282,464,294,951,34
"24510170300","Census Tract 1703, Baltimore city, Maryland",1981,282,270,107,339,168,694,157
"24510240400","Census Tract 2404, Baltimore city, Maryland",2829,264,87,65,53,57,1640,132
"24510270902","Census Tract 2709.02, Baltimore city, Maryland",4002,325,229,188,165,154,1350,118
"24510271002","Census Tract 2710.02, Baltimore city, Maryland",3936,511,802,493,194,117,818,143
"24510260402","Census Tract 2604.02, Baltimore city, Maryland",2795,233,201,146,149,116,802,90
"24510271200","Census Tract 2712, Baltimore city, Maryland",5993,366,208,146,197,151,855,99
"24510280404","Census Tract 2804.04, Baltimore city, Maryland",2176,246,236,122,325,168,573,236
"24510090100","Census Tract 901, Baltimore city, Maryland",4447,456,430,240,846,332,860,107
"24510200300","Census Tract 2003, Baltimore city, Maryland",1738,334,438,203,414,167,897,113
"24510271501","Census Tract 2715.01, Baltimore city, Maryland",4181,277,338,187,74,70,1203,56
"24510250203","Census Tract 2502.03, Baltimore city, Maryland",1905,193,214,92,224,134,965,37
"24510110200","Census Tract 1102, Baltimore city, Maryland",4934,578,488,147,682,275,1029,54
"24510020300","Census Tract 203, Baltimore city, Maryland",3554,424,288,98,141,90,1835,296
